Force (N)	Déformation (mm)
	
0.00065764	-0.63924
0.0013161	-0.62971
0.0019746	-0.62008
0.0026331	-0.61124
0.0032916	-0.60072
0.0039501	-0.59161
0.0046085	-0.58205
0.0052670	-0.57241
0.0059255	-0.56267
0.0065840	-0.55314
0.0072425	-0.54354
0.0079009	-0.53376
0.0085594	-0.52437
0.0092179	-0.51434
0.0098764	-0.50516
0.010535	-0.49534
0.011193	-0.48587
0.011852	-0.47572
0.012510	-0.46635
0.013169	-0.45677
0.013827	-0.44765
0.014486	-0.43770
0.015144	-0.42816
0.015803	-0.41792
0.016461	-0.40788
0.017120	-0.39883
0.017778	-0.38921
0.018437	-0.37969
0.020224	-0.37015
0.055197	-0.36029
0.063578	-0.35107
0.063578	-0.34139
0.063578	-0.33101
0.063578	-0.32208
0.063578	-0.31217
0.063578	-0.30269
0.063578	-0.29352
0.063578	-0.28382
0.063578	-0.27415
0.063578	-0.26423
0.063578	-0.25501
0.063578	-0.24418
0.063578	-0.23521
0.063578	-0.22595
0.063578	-0.21565
0.063578	-0.20653
0.063578	-0.19572
0.063578	-0.18676
0.063578	-0.17716
0.063578	-0.16767
0.063578	-0.15797
0.063578	-0.14815
0.063578	-0.13893
0.063578	-0.12941
0.063578	-0.11996
0.063578	-0.11005
0.063578	-0.099713
0.063578	-0.089299
0.063578	-0.080782
0.063578	-0.071138
0.063578	-0.061473
0.063578	-0.052244
0.063578	-0.042498
0.063578	-0.032301
0.063578	-0.023278
0.41350	-0.012910
0.83420	-0.0043086
1.0554	0.00033126
1.4637	0.0094395
1.9656	0.019058
2.4775	0.029064
2.9696	0.038786
3.3873	0.048051
3.8648	0.057497
4.3939	0.067600
4.8771	0.076724
5.3282	0.086252
5.8343	0.096055
6.3214	0.10538
6.8085	0.11503
7.3722	0.12550
7.8463	0.13493
8.3204	0.14462
8.8044	0.15443
9.3046	0.16414
9.8061	0.17384
10.246	0.18299
10.750	0.19254
11.209	0.20193
11.629	0.21166
12.075	0.22126
12.540	0.23151
12.992	0.24118
13.414	0.25084
13.896	0.26015
14.318	0.27005
14.694	0.27966
15.133	0.28852
0.70343	
