Force (N)	Déformation (mm)
	
0.00066479	-1.2231
0.0013301	-1.2079
0.0019954	-1.1926
0.0026607	-1.1773
0.0033261	-1.1621
0.0039914	-1.1466
0.0046567	-1.1312
0.0053220	-1.1150
0.0059873	-1.1003
0.0066526	-1.0846
0.0073179	-1.0692
0.0079833	-1.0535
0.0086486	-1.0378
0.0093139	-1.0232
0.0099792	-1.0072
0.010645	-0.99156
0.011310	-0.97632
0.011975	-0.96057
0.012640	-0.94543
0.013306	-0.93001
0.013971	-0.91432
0.014636	-0.89905
0.015302	-0.88360
0.015967	-0.86797
0.016632	-0.85286
0.017298	-0.83693
0.017963	-0.82200
0.018628	-0.80591
0.020584	-0.79092
0.025148	-0.77472
0.029712	-0.75934
0.034277	-0.74395
0.038841	-0.72901
0.043405	-0.71324
0.047970	-0.69704
0.052534	-0.68254
0.057098	-0.66646
0.061662	-0.65146
0.062261	-0.63612
0.059990	-0.62039
0.057719	-0.60468
0.055448	-0.58946
0.053178	-0.57468
0.050907	-0.55784
0.048636	-0.54288
0.046365	-0.52715
0.044095	-0.51253
0.041824	-0.49671
0.039553	-0.48126
0.037282	-0.46617
0.035012	-0.45066
0.032741	-0.43515
0.030470	-0.41961
0.028199	-0.40410
0.025929	-0.38867
0.025142	-0.37325
0.025703	-0.35782
0.026263	-0.34189
0.026824	-0.32645
0.027384	-0.31101
0.027945	-0.29557
0.028506	-0.28017
0.029066	-0.26485
0.029627	-0.24909
0.030187	-0.23367
0.030748	-0.21826
0.031308	-0.20285
0.031869	-0.18747
0.032429	-0.17162
0.032990	-0.15639
0.033550	-0.14102
0.034111	-0.12540
0.034671	-0.10978
0.035232	-0.094108
0.035792	-0.078377
0.036353	-0.062667
0.036913	-0.047193
0.037474	-0.031719
0.038034	-0.016245
0.92693	-0.00077161
1.8798	0.0080668
3.3641	0.023468
4.8480	0.039370
6.4050	0.054755
7.8271	0.070147
9.1731	0.085659
10.576	0.10117
11.856	0.11668
13.265	0.13153
14.629	0.14703
16.003	0.16261
17.324	0.17804
18.728	0.19429
20.079	0.20980
21.379	0.22532
22.770	0.24071
24.133	0.25618
25.413	0.27158
4.3678	
