Force (N)	Déformation (mm)
	
0.018599	-0.61404
0.037217	-0.60100
0.055835	-0.58940
0.062392	-0.57768
0.063686	-0.56490
0.064981	-0.55290
0.066275	-0.54078
0.067943	-0.52818
0.070986	-0.51631
0.074029	-0.50384
0.077072	-0.49223
0.080115	-0.47971
0.041648	-0.46723
0.043368	-0.45518
0.045088	-0.44337
0.046808	-0.43073
0.048529	-0.41877
0.050249	-0.40718
0.051969	-0.39475
0.053689	-0.38215
0.055409	-0.37029
0.056415	-0.35802
0.057324	-0.34542
0.058234	-0.33408
0.059144	-0.32122
0.060054	-0.30897
0.060964	-0.29690
0.061873	-0.28459
0.062783	-0.27181
0.063693	-0.26068
0.064603	-0.24778
0.065551	-0.23647
0.066499	-0.22382
0.067448	-0.21159
0.068397	-0.19931
0.069345	-0.18745
0.070294	-0.17512
0.071242	-0.16198
0.072191	-0.15036
0.073140	-0.13798
0.074088	-0.12623
0.075037	-0.11392
0.075985	-0.10210
0.076934	-0.090201
0.044994	-0.077683
0.058802	-0.065199
0.072610	-0.052844
0.086418	-0.041195
0.10023	-0.029089
0.11403	-0.016995
0.67160	-0.0053781
1.1066	0.0019309
1.9497	0.014371
2.6832	0.027525
3.5004	0.039027
4.2835	0.051022
5.0276	0.063231
5.7979	0.075501
6.5278	0.087124
7.3616	0.10035
8.0651	0.11122
8.7977	0.12383
9.4889	0.13661
10.199	0.14896
10.964	0.16020
11.605	0.17281
12.270	0.18550
12.901	0.19671
13.562	0.20883
14.200	0.22109
14.870	0.23360
15.567	0.24608
16.241	0.25778
16.938	0.27003
17.586	0.28197
18.220	0.29440
18.822	0.30669
19.569	0.31881
20.176	0.33073
20.812	0.34396
21.471	0.35579
22.081	0.36721
22.700	0.37968
23.311	0.39280
23.957	0.40461
24.550	0.41670
25.094	0.42936
25.606	0.44153
26.203	0.45370
26.716	0.46587
27.319	0.47804
27.845	0.49022
28.371	0.50239
28.814	0.51439
29.397	0.52634
29.908	0.53830
30.395	0.55027
30.881	0.56242
10.678	
