Force (N)	Déformation (mm)
	
0.038588	-0.58473
0.039029	-0.57533
0.039471	-0.56668
0.039912	-0.55769
0.040353	-0.54816
0.040795	-0.53910
0.041236	-0.53010
0.041677	-0.52074
0.042119	-0.51103
0.042560	-0.50234
0.043002	-0.49320
0.043443	-0.48327
0.043884	-0.47527
0.044326	-0.46527
0.044767	-0.45576
0.045208	-0.44744
0.045650	-0.43657
0.046091	-0.42751
0.046533	-0.41919
0.046974	-0.40942
0.047415	-0.40017
0.047857	-0.39196
0.048298	-0.38252
0.048739	-0.37332
0.049181	-0.36385
0.049622	-0.35499
0.050064	-0.34607
0.050505	-0.33611
0.050946	-0.32741
0.051388	-0.31788
0.051829	-0.30810
0.052270	-0.29999
0.052712	-0.28933
0.053153	-0.28083
0.053595	-0.27165
0.054036	-0.26277
0.054477	-0.25297
0.054919	-0.24386
0.055360	-0.23528
0.055801	-0.22548
0.056243	-0.21632
0.056684	-0.20697
0.057126	-0.19775
0.057947	-0.18831
0.058871	-0.17966
0.059796	-0.16984
0.060721	-0.16102
0.061645	-0.15175
0.062570	-0.14240
0.063495	-0.13294
0.064420	-0.12387
0.065344	-0.11358
0.066269	-0.10469
0.067194	-0.096088
0.068118	-0.086764
0.069043	-0.077535
0.069968	-0.068358
0.070893	-0.058880
0.071817	-0.050034
0.072742	-0.040735
0.082021	-0.031729
0.098788	-0.022174
0.11555	-0.012945
0.66981	-0.0037027
1.1881	0.00061902
2.3032	0.0094269
3.5974	0.019952
4.5983	0.028988
5.7723	0.038227
7.0246	0.046712
8.1489	0.056717
9.2972	0.064785
10.415	0.074588
11.511	0.084163
12.417	0.092983
13.479	0.10215
14.500	0.11166
15.497	0.12144
16.400	0.12943
17.264	0.13967
18.082	0.14900
19.070	0.15831
20.028	0.16686
20.957	0.17629
21.848	0.18568
22.930	0.19509
23.768	0.20440
24.687	0.21346
25.699	0.22216
26.678	0.23162
27.710	0.24065
28.697	0.25053
29.612	0.25964
30.580	0.26915
31.485	0.27755
32.441	0.28832
33.368	0.29581
34.173	0.30497
	0.31560
