Force (N)	Déformation (mm)
	
0.00000	-1.2333
0.00000	-1.2185
0.00000	-1.2026
0.00000	-1.1874
0.00000	-1.1717
0.00000	-1.1567
0.00000	-1.1407
0.00000	-1.1253
0.00000	-1.1098
0.00000	-1.0938
0.00000	-1.0783
0.00000	-1.0631
0.00000	-1.0477
0.00000	-1.0321
0.00000	-1.0166
0.00000	-1.0010
0.00000	-0.98486
0.00000	-0.96921
0.00000	-0.95441
0.00000	-0.93838
0.00000	-0.92240
0.00000	-0.90748
0.00000	-0.89149
0.00000	-0.87576
0.00000	-0.86012
0.00000	-0.84525
0.00000	-0.82981
0.00000	-0.81413
0.00000	-0.79816
0.00000	-0.78229
0.00000	-0.76640
0.00000	-0.75087
0.00000	-0.73592
0.00000	-0.71982
0.00000	-0.70482
0.00000	-0.68901
0.00000	-0.67351
0.00000	-0.65821
0.00000	-0.64279
0.00000	-0.62730
0.00000	-0.61057
0.00000	-0.59540
0.00000	-0.58001
0.00000	-0.56394
0.00000	-0.54908
0.00000	-0.53357
0.00000	-0.51853
0.00000	-0.50299
0.00000	-0.48607
0.00000	-0.47065
0.00000	-0.45522
0.00000	-0.44029
0.00000	-0.42460
0.00000	-0.40895
0.00000	-0.39331
0.00000	-0.37783
0.00000	-0.36226
-0.000019232	-0.34713
-0.00021093	-0.33162
-0.00040263	-0.31544
-0.00059432	-0.30031
-0.00078602	-0.28468
-0.00097772	-0.26870
-0.0011694	-0.25281
-0.0013611	-0.23801
-0.0015528	-0.22243
-0.0017445	-0.20671
-0.0019362	-0.19124
-0.0021279	-0.17576
-0.0023196	-0.15958
-0.0025113	-0.14405
-0.0027030	-0.12886
-0.0028947	-0.11354
-0.0030864	-0.097962
-0.0032781	-0.082380
-0.0034698	-0.066798
-0.0036615	-0.050965
-0.0038532	-0.034898
-0.0040449	-0.019683
0.65605	-0.0040150
1.6246	0.0055417
3.1704	0.020810
4.6645	0.037055
6.1521	0.052705
7.6206	0.068263
8.9931	0.083415
10.325	0.098915
11.604	0.11441
12.983	0.13023
14.424	0.14544
15.779	0.16083
17.088	0.17632
18.352	0.19182
19.859	0.20851
21.245	0.22398
22.678	0.23933
23.947	0.25502
25.266	0.27066
-0.0098274	
