Force (N)	Déformation (mm)
	
0.00000	-0.43122
0.00000	-0.42119
0.00000	-0.41269
0.00000	-0.40317
0.00000	-0.39364
0.00000	-0.38445
0.00000	-0.37534
0.00000	-0.36578
0.00000	-0.35620
0.00000	-0.34751
0.00000	-0.33793
0.00000	-0.32825
0.00000	-0.31930
0.00000	-0.30955
0.00000	-0.29985
0.00000	-0.29026
0.00000	-0.28094
0.00000	-0.27207
0.00000	-0.26236
0.00000	-0.25229
0.00000	-0.24350
0.00000	-0.23462
0.00000	-0.22497
0.00000	-0.21618
0.00000	-0.20646
0.00000	-0.19677
0.00000	-0.18774
0.00000	-0.17850
0.00000	-0.16953
0.00000	-0.15917
0.00000	-0.14962
0.00000	-0.14127
0.00000	-0.13174
0.00000	-0.12191
0.00000	-0.11298
0.00000	-0.10327
0.00000	-0.093915
0.00000	-0.084614
0.00000	-0.074733
0.00000	-0.066254
0.00000	-0.056307
0.00000	-0.046892
0.016101	-0.038474
0.042180	-0.029076
0.17604	-0.019650
0.61656	-0.0098256
1.0563	-0.00087197
1.1957	0.0038523
1.6794	0.012900
2.1040	0.022543
2.5485	0.031862
3.0187	0.041618
3.4384	0.050321
3.9187	0.059142
4.4530	0.069248
4.9127	0.078855
5.3510	0.088280
5.7964	0.097782
6.2433	0.10688
6.7596	0.11613
7.1933	0.12519
7.6550	0.13516
8.1167	0.14399
8.6258	0.15322
9.0618	0.16283
9.5853	0.17228
9.9536	0.18186
10.421	0.19083
10.879	0.20029
11.337	0.20980
11.793	0.21932
12.265	0.22924
12.705	0.23781
13.151	0.24639
13.592	0.25593
14.020	0.26640
14.463	0.27545
14.902	0.28487
15.380	0.29407
15.788	0.30335
16.194	0.31274
16.612	0.32220
17.079	0.33226
17.450	0.34029
17.875	0.34976
18.295	0.36014
18.707	0.36893
19.129	0.37847
19.478	0.38722
19.958	0.39661
20.346	0.40658
20.732	0.41583
21.117	0.42521
21.421	0.43458
21.797	0.44396
22.173	0.45333
22.534	0.46271
22.886	0.47208
1.4815	
