Force (N)	Déformation (mm)
	
0.038147	-0.43697
0.038147	-0.42638
0.038147	-0.41705
0.038147	-0.40582
0.038147	-0.39561
0.038147	-0.38563
0.038147	-0.37520
0.038147	-0.36534
0.038147	-0.35500
0.038147	-0.34348
0.038147	-0.33366
0.038147	-0.32366
0.038147	-0.31390
0.038147	-0.30253
0.038147	-0.29273
0.038147	-0.28281
0.038147	-0.27217
0.038147	-0.26163
0.038147	-0.25087
0.038147	-0.24008
0.038147	-0.23080
0.038147	-0.21988
0.038147	-0.20957
0.038147	-0.19922
0.038147	-0.18971
0.038147	-0.17903
0.038147	-0.16820
0.038147	-0.15855
0.038147	-0.14772
0.038147	-0.13816
0.038147	-0.12767
0.038147	-0.11670
0.038147	-0.10651
0.038147	-0.096064
0.038147	-0.085342
0.038147	-0.074648
0.038147	-0.064706
0.038147	-0.053424
0.038147	-0.044339
0.038147	-0.033355
0.038147	-0.023516
0.15238	-0.013676
0.81266	-0.0029913
1.1807	0.0033726
1.9682	0.013471
2.7594	0.023521
3.4722	0.033527
4.2295	0.044720
4.9965	0.054455
5.7081	0.064488
6.3411	0.075688
7.1381	0.085812
7.8825	0.095983
8.6103	0.10642
9.2447	0.11677
9.9750	0.12671
10.653	0.13842
11.308	0.14795
11.895	0.15837
12.535	0.16820
13.134	0.17857
13.745	0.18934
14.408	0.20035
15.067	0.21063
15.638	0.22090
16.194	0.23104
16.922	0.24115
17.570	0.25155
18.183	0.26159
18.832	0.27168
19.481	0.28117
20.150	0.29254
20.703	0.30273
21.364	0.31417
22.081	0.32349
22.673	0.33371
23.299	0.34495
23.892	0.35506
24.465	0.36538
25.048	0.37547
25.644	0.38570
26.302	0.39572
26.852	0.40574
27.398	0.41610
27.944	0.42646
28.493	0.43682
29.044	0.44761
29.522	0.45807
30.138	0.46827
30.720	0.47926
31.207	0.48901
31.720	0.49899
32.234	0.50966
32.751	0.52030
33.179	0.53059
33.679	0.54092
34.048	0.55181
34.566	0.56230
11.424	
