Force (N)	Déformation (mm)
	
0.00000	-0.53315
0.00000	-0.52222
0.00000	-0.51218
0.00000	-0.50143
0.00000	-0.48957
0.00000	-0.48028
0.00000	-0.46834
0.00000	-0.45858
0.00000	-0.44690
0.00000	-0.43644
0.00000	-0.42612
0.00000	-0.41472
0.00000	-0.40457
0.00000	-0.39353
0.00000	-0.38306
0.00000	-0.37243
0.00000	-0.36119
0.00000	-0.35040
0.00000	-0.33991
0.00000	-0.32957
0.00000	-0.31880
0.00000	-0.30667
0.00000	-0.29675
0.00000	-0.28588
0.00000	-0.27472
0.00000	-0.26449
0.00000	-0.25319
0.00000	-0.24288
0.00000	-0.23180
0.00000	-0.22078
0.00000	-0.21086
0.00000	-0.19985
0.00000	-0.18866
0.00000	-0.17845
0.00000	-0.16804
0.00000	-0.15581
0.00000	-0.14630
0.00000	-0.13491
0.00000	-0.12413
0.00000	-0.11311
0.00000	-0.10274
0.00000	-0.091339
0.00000	-0.081262
0.00000	-0.070021
0.00000	-0.059688
0.00000	-0.049150
0.00000	-0.038131
0.0047042	-0.026744
0.26264	-0.016299
0.72973	-0.0056051
1.0237	0.00049612
1.4793	0.010236
2.0139	0.021289
2.5575	0.031592
3.0756	0.043460
3.5599	0.053511
4.1380	0.064876
4.6416	0.075180
5.1124	0.086347
5.6507	0.096567
6.1797	0.10734
6.6554	0.11835
7.1304	0.12936
7.7271	0.14016
8.1689	0.15018
8.6543	0.16180
9.1232	0.17197
9.5442	0.18291
10.049	0.19354
10.550	0.20545
10.964	0.21498
11.461	0.22571
11.880	0.23679
12.342	0.24847
12.747	0.25821
13.179	0.26897
13.639	0.28054
14.039	0.29074
14.448	0.30138
14.900	0.31296
15.274	0.32275
15.693	0.33403
16.051	0.34513
16.448	0.35572
16.800	0.36690
17.182	0.37773
17.560	0.38856
17.884	0.39917
18.301	0.40978
18.667	0.42013
19.014	0.43077
19.399	0.44282
19.766	0.45327
20.063	0.46397
20.388	0.47467
20.808	0.48522
21.098	0.49565
21.393	0.50594
0.11873	
