Force (N)	Déformation (mm)
	
0.00095422	-0.54430
0.0019099	-0.53570
0.0028655	-0.52743
0.0038212	-0.52017
0.0047768	-0.51128
0.0057325	-0.50343
0.0066881	-0.49577
0.0076438	-0.48727
0.0085994	-0.47923
0.0095551	-0.47064
0.010511	-0.46341
0.011466	-0.45431
0.012422	-0.44622
0.013378	-0.43879
0.014333	-0.42995
0.015289	-0.42214
0.016245	-0.41356
0.017200	-0.40541
0.018156	-0.39795
0.019552	-0.38889
0.031559	-0.38124
0.043565	-0.37326
0.00097122	-0.36529
0.00093763	-0.35712
0.00090403	-0.34880
0.00087044	-0.34027
0.00083685	-0.33283
0.00080326	-0.32431
0.00076967	-0.31558
0.00073608	-0.30771
0.00070249	-0.29959
0.00066890	-0.29138
0.00063531	-0.28317
0.00060172	-0.27547
0.00056813	-0.26681
0.00053454	-0.25797
0.00050095	-0.25076
0.00046736	-0.24161
0.00043376	-0.23422
0.00040017	-0.22652
0.00036658	-0.21828
0.00033299	-0.20964
0.00029940	-0.20113
0.00026581	-0.19369
0.00023222	-0.18524
0.00019863	-0.17689
0.00016504	-0.16876
0.00013145	-0.16093
0.000097858	-0.15260
0.000064267	-0.14437
0.000030677	-0.13616
-0.0000029141	-0.12824
-0.000036505	-0.11945
-0.000070096	-0.11154
-0.00010369	-0.10342
-0.00013728	-0.095284
-0.0074199	-0.086938
-0.018930	-0.078361
-0.030439	-0.070406
-0.041949	-0.062546
0.037969	-0.054640
0.038005	-0.046162
0.038040	-0.038320
0.038075	-0.030419
0.038110	-0.021945
0.038145	-0.013698
0.52105	-0.0054939
1.0945	0.0012880
1.4968	0.0069901
2.2240	0.015109
2.8734	0.023228
3.5494	0.031157
4.2532	0.039218
4.9154	0.046713
5.5722	0.055548
6.2014	0.064375
6.8480	0.072335
7.5438	0.080534
8.2275	0.088469
8.8050	0.096887
9.5063	0.10536
10.150	0.11341
10.841	0.12134
11.433	0.12964
12.018	0.13795
12.590	0.14616
13.167	0.15436
13.825	0.16256
14.352	0.17079
14.856	0.17902
15.415	0.18725
16.053	0.19480
16.598	0.20295
17.167	0.21087
17.706	0.21986
18.316	0.22743
18.778	0.23573
19.478	0.24394
0.026321	
