Force (N)	Déformation (mm)
	
0.0049178	-0.35388
0.0098413	-0.34373
0.014765	-0.33361
0.029796	-0.32282
0.0013061	-0.31324
0.0012169	-0.30225
0.0011277	-0.29136
0.0010386	-0.28143
0.00094939	-0.27055
0.00086023	-0.25951
0.00077106	-0.24903
0.00068189	-0.23891
0.00059272	-0.22818
0.00050356	-0.21727
0.00041439	-0.20737
0.00032522	-0.19716
0.00023605	-0.18617
0.00014689	-0.17526
0.000057720	-0.16525
-0.000031448	-0.15402
0.0012883	-0.14379
0.0034679	-0.13349
0.0056474	-0.12258
0.0078270	-0.11270
0.010007	-0.10144
0.012186	-0.091006
0.014366	-0.081437
0.016545	-0.069523
0.018725	-0.058958
0.020905	-0.048393
0.023084	-0.038124
0.025264	-0.027534
0.37207	-0.016944
0.74605	-0.0063544
1.0600	0.0011225
1.3426	0.0093329
1.7547	0.020131
2.1755	0.029886
2.6282	0.040841
3.0605	0.051365
3.4507	0.061594
3.8597	0.071681
4.3173	0.082263
4.7573	0.092845
5.1818	0.10433
5.6155	0.11458
6.0493	0.12458
6.5206	0.13578
6.8865	0.14575
7.4042	0.15633
7.8308	0.16752
8.2405	0.17791
8.6481	0.18857
9.0569	0.19908
9.4859	0.20968
9.8622	0.21989
10.312	0.23018
10.755	0.24105
11.161	0.25190
11.588	0.26217
12.008	0.27225
12.411	0.28281
12.807	0.29434
13.195	0.30501
13.583	0.31556
13.943	0.32610
14.330	0.33665
14.691	0.34709
15.159	0.35726
15.519	0.36792
15.860	0.37875
16.221	0.38861
16.544	0.39987
16.876	0.41013
17.228	0.41996
17.595	0.43057
17.936	0.44118
18.276	0.45174
18.607	0.46211
18.915	0.47339
19.230	0.48434
19.552	0.49488
19.905	0.50539
20.223	0.51567
20.542	0.52577
20.860	0.53627
21.175	0.54677
21.486	0.55740
21.788	0.56733
22.074	0.57859
22.359	0.58923
22.653	0.60006
22.880	0.61088
23.158	0.62150
23.436	0.63211
23.714	0.64260
23.988	0.65282
24.259	0.66306
4.7183	
