Force (N)	Déformation (mm)
	
2.1888	0.041283
2.1592	0.033794
1.9935	0.026657
1.9007	0.020261
1.8125	0.012787
1.4034	0.0052634
0.95180	0.0011599
0.95320	0.0073893
0.95460	0.014572
1.0542	0.021755
1.2170	0.028768
1.5393	0.035733
2.1346	0.043497
2.5833	0.050933
3.0320	0.058369
3.4807	0.065806
3.9266	0.073237
4.2378	0.080592
4.6314	0.087947
4.9667	0.095302
5.3544	0.10266
5.7422	0.11001
6.1217	0.11737
6.4876	0.12467
6.8536	0.13192
7.2196	0.13916
7.6976	0.14743
8.0423	0.15341
8.3870	0.16134
8.7317	0.16873
9.0764	0.17613
9.4212	0.18352
9.7659	0.19092
10.092	0.19831
10.476	0.20544
10.818	0.21289
11.161	0.22033
11.504	0.22771
11.808	0.23510
12.120	0.24248
12.453	0.24986
12.786	0.25725
13.126	0.26404
13.456	0.27184
13.761	0.27931
14.066	0.28679
14.362	0.29408
14.736	0.30110
15.045	0.30840
15.354	0.31642
15.664	0.32368
15.973	0.33110
16.257	0.33852
16.530	0.34594
16.811	0.35336
17.136	0.36078
17.396	0.36820
17.675	0.37583
17.955	0.38319
18.310	0.39054
18.538	0.39790
18.799	0.40515
19.059	0.41239
19.320	0.41977
19.629	0.42715
19.894	0.43453
20.158	0.44192
20.423	0.44930
20.668	0.45668
20.905	0.46414
21.225	0.47177
21.444	0.47923
21.700	0.48662
21.956	0.49401
22.209	0.50050
22.434	0.50807
22.646	0.51529
22.904	0.52257
23.120	0.52991
23.326	0.53724
23.532	0.54458
23.758	0.55191
23.982	0.55924
24.206	0.56676
24.432	0.57422
24.662	0.58167
24.896	0.58912
25.050	0.59656
25.282	0.60399
25.488	0.61141
25.687	0.61883
25.923	0.62627
26.088	0.63376
26.270	0.64122
26.554	0.64855
26.748	0.65589
26.942	0.66322
27.128	0.67056
-3.9291	
