Force (N)	Déformation (mm)
	
0.0029601	-0.28237
0.0059247	-0.27435
0.0088894	-0.26758
0.011854	-0.25953
0.014819	-0.25186
0.017783	-0.24391
0.020276	-0.23590
0.022405	-0.22816
0.024533	-0.22063
0.026662	-0.21288
0.028791	-0.20401
0.030919	-0.19654
0.033048	-0.18836
0.035177	-0.18047
0.037305	-0.17229
0.039434	-0.16463
0.041563	-0.15686
0.043691	-0.14928
0.045820	-0.14132
0.047948	-0.13335
0.050077	-0.12584
-0.032318	-0.11781
-0.028052	-0.10944
-0.023787	-0.10217
-0.019522	-0.093329
-0.015257	-0.085592
-0.010991	-0.078125
-0.0067261	-0.070425
-0.0024609	-0.062566
0.0018044	-0.054518
0.0060696	-0.046766
0.0099633	-0.038221
0.013253	-0.030343
0.15218	-0.023213
0.48633	-0.015332
0.74960	-0.0072177
1.1283	0.00083803
1.2805	0.0051179
1.6696	0.012810
2.1288	0.020390
2.5882	0.028086
3.0484	0.036008
3.4975	0.043687
3.9233	0.051964
4.3421	0.059769
4.7782	0.067573
5.2795	0.076088
5.7166	0.083318
6.1670	0.091121
6.6175	0.098938
7.0594	0.10760
7.4683	0.11512
7.9067	0.12302
8.3504	0.13093
8.7968	0.13840
9.1698	0.14646
9.5808	0.15432
10.014	0.16280
10.496	0.17027
10.907	0.17819
11.306	0.18610
11.725	0.19377
12.109	0.20216
12.557	0.21019
13.008	0.21808
13.362	0.22551
13.734	0.23306
14.225	0.24103
14.608	0.24900
14.931	0.25689
15.323	0.26467
15.714	0.27249
16.171	0.28039
16.516	0.28835
16.886	0.29643
17.331	0.30458
17.611	0.31228
18.084	0.31999
18.445	0.32781
18.841	0.33576
19.299	0.34386
19.677	0.35187
20.055	0.35967
20.342	0.36717
20.744	0.37504
21.146	0.38291
21.448	0.39070
21.803	0.39849
22.154	0.40629
22.506	0.41415
22.797	0.42208
23.200	0.43108
23.507	0.43888
23.839	0.44671
24.172	0.45455
24.496	0.46239
24.816	0.47024
25.145	0.47808
0.19073	
