Force (N)	Déformation (mm)
	
0.00000	-0.57241
0.00000	-0.55729
0.00000	-0.54204
0.00000	-0.52761
0.00000	-0.51136
0.00000	-0.49694
0.00000	-0.48138
0.00000	-0.46601
0.00000	-0.45079
0.00000	-0.43550
0.00000	-0.42067
0.00000	-0.40473
0.00000	-0.38982
0.00000	-0.37449
0.00000	-0.35956
0.00000	-0.34347
0.00000	-0.32878
0.00000	-0.31370
0.00000	-0.29789
0.00000	-0.28350
0.00000	-0.26737
0.00000	-0.25232
0.00000	-0.23680
0.00000	-0.22220
0.00000	-0.20645
0.00000	-0.19093
0.00000	-0.17568
0.00000	-0.16006
0.00000	-0.14522
0.00000	-0.12968
0.00000	-0.11415
0.00000	-0.099747
0.00000	-0.084396
0.00000	-0.069403
0.00000	-0.052889
0.00000	-0.038164
0.31257	-0.023348
0.76568	-0.0080754
1.0274	0.0034683
1.4316	0.018077
1.8581	0.033775
2.2485	0.048795
2.6394	0.063918
3.0714	0.078501
3.4881	0.094224
3.8439	0.10986
4.2105	0.12503
4.5740	0.14070
4.9821	0.15538
5.3555	0.17083
5.7288	0.18632
6.1315	0.20122
6.5265	0.21719
6.8507	0.23209
7.2211	0.24752
7.6004	0.26229
7.9544	0.27753
8.2833	0.29321
8.5856	0.30828
8.9263	0.32343
9.2522	0.33889
9.5738	0.35490
9.8959	0.36990
10.219	0.38457
10.584	0.40002
10.845	0.41515
11.208	0.43115
11.509	0.44597
11.807	0.46134
12.105	0.47710
12.306	0.49195
12.577	0.50734
12.848	0.52168
13.078	0.53790
13.362	0.55255
13.600	0.56879
13.839	0.58349
14.143	0.59886
14.372	0.61365
14.622	0.62946
14.865	0.64452
15.106	0.65952
15.345	0.67547
15.584	0.69083
15.742	0.70537
15.964	0.72103
16.187	0.73645
16.409	0.75189
16.606	0.76653
16.793	0.78213
16.986	0.79754
17.178	0.81223
17.370	0.82809
17.539	0.84339
17.707	0.85858
17.875	0.87366
18.053	0.88874
18.226	0.90383
	0.91956
