Force (N)	Déformation (mm)
	
0.00000	-0.55168
0.00000	-0.53667
0.00000	-0.52133
0.00000	-0.50573
0.00000	-0.48962
0.00000	-0.47449
0.00000	-0.45891
0.00000	-0.44331
0.00000	-0.42757
0.00000	-0.41098
0.00000	-0.39660
0.00000	-0.38094
0.00000	-0.36493
0.00000	-0.34954
0.00000	-0.33393
0.00000	-0.31877
0.00000	-0.30264
0.00000	-0.28642
0.00000	-0.27148
0.00000	-0.25490
0.00000	-0.24053
0.00000	-0.22518
0.00000	-0.20893
0.00000	-0.19336
0.00000	-0.17837
0.00000	-0.16210
0.00000	-0.14649
0.00000	-0.13117
0.00000	-0.11457
0.00000	-0.099610
0.00000	-0.084292
0.00000	-0.068831
0.00000	-0.053503
0.15991	-0.036853
0.45805	-0.022178
0.84304	-0.0069252
1.0283	0.0040400
1.4052	0.019788
1.8021	0.034851
2.1864	0.051742
2.5579	0.067858
2.9844	0.081823
3.3676	0.097734
3.7507	0.11261
4.1159	0.12932
4.4574	0.14408
4.8180	0.16056
5.1801	0.17524
5.5730	0.19114
5.9280	0.20674
6.2769	0.22256
6.7094	0.23845
7.0176	0.25447
7.3958	0.26947
7.7594	0.28524
8.1323	0.30100
8.4370	0.31589
8.7723	0.33173
9.1046	0.34775
9.4273	0.36349
9.7500	0.37870
10.091	0.39499
10.367	0.41019
10.682	0.42576
11.009	0.44076
11.280	0.45655
11.565	0.47227
11.846	0.48783
12.125	0.50353
12.399	0.51903
12.672	0.53510
12.938	0.55048
13.205	0.56580
13.424	0.58187
13.678	0.59715
13.897	0.61300
14.128	0.62851
14.410	0.64407
14.615	0.65939
14.836	0.67550
15.057	0.69089
15.278	0.70648
15.497	0.72203
15.709	0.73732
15.921	0.75310
16.126	0.76871
16.322	0.78402
16.511	0.80021
16.694	0.81591
16.877	0.83120
17.079	0.84678
17.243	0.86236
17.396	0.87836
17.549	0.89408
17.684	0.90976
17.838	0.92563
18.032	0.94046
18.163	0.95601
0.62128	
