Force (N)	Déformation (mm)
	
0.039178	-0.71054
0.040209	-0.69850
0.041241	-0.68676
0.042273	-0.67410
0.043305	-0.66318
0.044336	-0.65224
0.045368	-0.63953
0.046400	-0.62829
0.047432	-0.61594
0.048464	-0.60404
0.049495	-0.59125
0.050527	-0.57936
0.051559	-0.56797
0.052591	-0.55614
0.053622	-0.54465
0.054654	-0.53267
0.055686	-0.52091
0.056718	-0.50892
0.084630	-0.49693
-0.0037229	-0.48474
0.0010718	-0.47352
0.0058666	-0.46141
0.010661	-0.44903
0.015456	-0.43766
0.020251	-0.42654
0.025046	-0.41386
0.029311	-0.40134
0.032241	-0.39010
0.035172	-0.37829
0.038103	-0.36490
0.041033	-0.35422
0.065693	-0.34263
0.081806	-0.33086
0.067307	-0.31897
0.052807	-0.30719
0.038308	-0.29550
0.024241	-0.28238
0.010777	-0.27050
0.0067735	-0.25918
0.0084208	-0.24712
0.010068	-0.23530
0.011715	-0.22382
0.013363	-0.21135
0.015010	-0.19973
0.016657	-0.18766
0.018304	-0.17569
0.019952	-0.16455
0.021599	-0.15221
0.023246	-0.14073
0.024893	-0.12820
0.026541	-0.11675
0.028188	-0.10454
0.029835	-0.092695
0.031482	-0.080947
0.033130	-0.069400
0.034777	-0.057195
0.036424	-0.045021
0.038071	-0.033182
0.18384	-0.021406
0.52490	-0.0094775
1.0355	0.00044339
1.3728	0.0093264
1.9378	0.020682
2.5194	0.032305
3.0984	0.044962
3.6492	0.056840
4.2029	0.068718
4.6871	0.079969
5.2305	0.091989
5.8169	0.10396
6.2947	0.11554
6.8743	0.12843
7.3841	0.13949
7.8856	0.15200
8.3739	0.16306
8.8915	0.17520
9.3290	0.18710
9.8163	0.19899
10.319	0.21078
10.711	0.22364
11.242	0.23546
11.720	0.24683
12.228	0.25861
12.645	0.27091
13.178	0.28235
13.651	0.29411
14.148	0.30651
14.516	0.31754
15.033	0.33012
15.477	0.34147
15.921	0.35372
16.357	0.36537
16.763	0.37716
17.151	0.38861
17.583	0.40054
18.014	0.41349
18.443	0.42529
18.858	0.43606
5.1909	
