Force (N)	Déformation (mm)
	
0.040367	-0.44199
0.042588	-0.42636
0.044809	-0.41130
0.047031	-0.39526
0.049252	-0.38051
0.051474	-0.36619
0.053695	-0.35085
0.055917	-0.33496
0.059469	-0.31992
0.064913	-0.30411
0.070358	-0.28918
0.075802	-0.27328
0.081247	-0.25849
0.086691	-0.24365
0.043092	-0.22845
0.046226	-0.21317
0.049359	-0.19803
0.052493	-0.18277
0.055627	-0.16591
0.058761	-0.15213
0.061894	-0.13625
0.065028	-0.12090
0.068162	-0.10579
0.071296	-0.090350
0.074429	-0.075239
0.077563	-0.059263
0.080697	-0.044556
0.083831	-0.029628
0.44989	-0.014390
0.98339	-0.000020495
1.5310	0.010263
2.2378	0.025517
2.8936	0.040861
3.6447	0.057739
4.3432	0.071460
5.0531	0.088186
5.7590	0.10240
6.5537	0.11742
7.3160	0.13306
8.0683	0.14810
8.7545	0.16424
9.4184	0.17881
10.081	0.19421
10.652	0.20946
11.313	0.22481
11.884	0.24026
12.556	0.25582
13.105	0.27052
13.742	0.28655
14.241	0.30122
14.805	0.31720
15.353	0.33219
15.992	0.34716
16.598	0.36271
17.108	0.37828
17.690	0.39348
18.255	0.40876
18.746	0.42393
19.327	0.43977
19.837	0.45533
20.330	0.47032
20.856	0.48493
21.370	0.50041
21.837	0.51578
22.336	0.53093
22.775	0.54659
23.237	0.56185
23.674	0.57711
24.061	0.59187
24.516	0.60691
24.928	0.62332
25.343	0.63833
25.726	0.65382
26.167	0.66927
26.536	0.68406
26.905	0.69869
27.231	0.71454
27.541	0.72987
27.877	0.74570
28.216	0.76046
28.520	0.77596
28.772	0.79167
29.105	0.80685
29.344	0.82160
29.673	0.83682
30.003	0.85223
30.250	0.86759
30.466	0.88304
30.664	0.89776
30.918	0.91336
31.164	0.92895
31.400	0.94375
31.628	0.95961
31.830	0.97523
32.040	0.99004
32.260	1.0054
32.462	1.0207
32.661	1.0361
0.15280	
