Force (N)	Déformation (mm)
	
-0.037570	-0.90198
-0.036992	-0.88856
-0.036414	-0.87514
-0.035837	-0.86095
-0.035259	-0.84840
-0.034681	-0.83527
-0.034104	-0.82141
-0.033526	-0.80808
-0.032948	-0.79442
-0.032371	-0.78115
-0.031793	-0.76760
-0.031215	-0.75462
-0.030637	-0.74008
-0.030060	-0.72769
-0.029482	-0.71428
-0.028904	-0.70010
-0.028327	-0.68638
-0.027749	-0.67243
-0.027171	-0.65988
-0.026594	-0.64678
-0.026016	-0.63228
-0.025438	-0.61887
-0.024861	-0.60563
-0.024283	-0.59265
-0.023705	-0.57882
-0.023127	-0.56562
-0.022550	-0.55198
-0.021972	-0.53841
-0.021394	-0.52475
-0.020817	-0.51137
-0.020239	-0.49794
-0.019661	-0.48415
-0.019084	-0.47107
-0.018506	-0.45740
-0.017928	-0.44352
-0.017351	-0.43026
-0.016773	-0.41699
-0.016195	-0.40307
-0.015617	-0.39009
-0.015040	-0.37625
-0.014462	-0.36260
-0.013884	-0.34895
-0.013307	-0.33528
-0.012729	-0.32246
-0.012151	-0.30860
-0.011574	-0.29523
-0.010996	-0.28097
-0.010418	-0.26819
-0.0098405	-0.25455
-0.0092628	-0.24129
-0.0086851	-0.22744
-0.0081074	-0.21426
-0.0075298	-0.20066
-0.0069521	-0.18680
-0.0063744	-0.17345
-0.0057967	-0.15962
-0.0052190	-0.14729
-0.0046413	-0.13336
-0.0040636	-0.11966
-0.0034859	-0.10635
-0.0029082	-0.092499
-0.0023305	-0.078669
-0.0017528	-0.065521
-0.0011751	-0.052008
-0.00059743	-0.038396
-0.000019738	-0.025367
0.51996	-0.011727
1.0428	0.0013917
1.4812	0.010692
2.0965	0.024993
2.7036	0.038436
3.2575	0.050951
3.9080	0.065024
4.4992	0.078655
5.1256	0.091704
5.7356	0.10508
6.3143	0.11924
6.8927	0.13289
7.4572	0.14555
8.0591	0.15945
8.6288	0.17396
9.1691	0.18728
9.7254	0.20007
10.276	0.21459
10.776	0.22748
11.317	0.24107
11.816	0.25470
12.293	0.26800
12.804	0.28056
13.289	0.29426
13.859	0.30744
14.344	0.32110
14.836	0.33470
15.262	0.34853
15.675	0.36153
16.119	0.37504
16.599	0.38856
17.009	0.40269
4.7393	
