Force (N)	Déformation (mm)
	
0.00000	-0.25408
0.00000	-0.24759
0.00000	-0.24079
0.00000	-0.23436
0.00000	-0.22810
0.00000	-0.22066
0.00000	-0.21382
0.00000	-0.20732
0.00000	-0.20166
0.00000	-0.19421
0.00000	-0.18756
0.00000	-0.18090
0.00000	-0.17441
0.00000	-0.16766
0.00000	-0.16099
0.00000	-0.15431
0.00000	-0.14796
0.00000	-0.14020
0.00000	-0.13432
0.00000	-0.12709
0.00000	-0.12142
0.00000	-0.11400
0.00000	-0.10741
0.00000	-0.10014
0.00000	-0.094035
0.00000	-0.087188
0.00000	-0.080553
0.00000	-0.072440
0.00000	-0.067018
0.00000	-0.060392
0.00000	-0.053039
0.00000	-0.046430
0.00000	-0.040339
0.013939	-0.033261
0.031368	-0.026559
0.048796	-0.019517
0.18165	-0.013018
0.62994	-0.0062264
0.96931	-0.00027483
1.2054	0.0032320
1.6155	0.0098986
2.0602	0.016533
2.5028	0.023222
2.9629	0.029948
3.4652	0.036721
3.9232	0.043485
4.4174	0.049752
4.9536	0.056393
5.4632	0.063366
5.9928	0.069685
6.5713	0.076420
7.1542	0.083890
7.6857	0.090240
8.2023	0.097026
8.6722	0.10344
9.2040	0.11023
9.7803	0.11672
10.298	0.12316
10.816	0.12970
11.333	0.13689
11.887	0.14393
12.366	0.14980
12.952	0.15755
13.413	0.16362
13.947	0.17048
14.446	0.17741
15.060	0.18480
15.525	0.19082
16.122	0.19743
16.637	0.20433
17.119	0.21108
17.684	0.21808
18.219	0.22476
18.731	0.23121
19.303	0.23765
19.734	0.24409
20.216	0.25178
20.654	0.25827
21.206	0.26465
21.683	0.27101
22.151	0.27763
22.619	0.28438
23.097	0.29112
23.586	0.29786
24.071	0.30518
24.465	0.31165
25.064	0.31805
25.454	0.32504
25.984	0.33167
26.334	0.33746
26.868	0.34492
27.240	0.35175
27.717	0.35866
28.111	0.36504
28.547	0.37143
29.005	0.37886
29.371	0.38530
29.847	0.39182
	0.39953
