Force (N)	Déformation (mm)
	
0.0041411	-0.87853
0.0082865	-0.86778
0.012432	-0.85547
0.016577	-0.84362
0.020723	-0.83154
0.024868	-0.82062
0.029013	-0.80796
0.033159	-0.79713
0.037304	-0.78447
0.041450	-0.77287
0.043708	-0.76129
0.043769	-0.74912
0.043829	-0.73711
0.043890	-0.72450
0.043951	-0.71381
0.044011	-0.70209
0.044072	-0.69038
0.044133	-0.67842
0.044193	-0.66685
0.044254	-0.65436
0.044315	-0.64257
0.044375	-0.63051
0.044436	-0.61866
0.044497	-0.60726
0.044557	-0.59557
0.044618	-0.58394
0.044679	-0.57196
0.044739	-0.55924
0.044800	-0.54799
0.044861	-0.53589
0.044922	-0.52409
0.044982	-0.51204
0.045043	-0.50035
0.045104	-0.48877
0.045164	-0.47698
0.045225	-0.46526
0.045286	-0.45324
0.045346	-0.44161
0.045407	-0.42973
0.045468	-0.41768
0.045528	-0.40555
0.045589	-0.39415
0.045650	-0.38235
0.045710	-0.37012
0.045771	-0.35825
0.045832	-0.34628
0.045892	-0.33484
0.045953	-0.32324
0.046014	-0.31099
0.046074	-0.29972
0.046135	-0.28705
0.046196	-0.27557
0.046256	-0.26368
0.046317	-0.25169
0.046378	-0.23993
0.046438	-0.22817
0.046499	-0.21600
0.046560	-0.20399
0.046620	-0.19265
0.046681	-0.18129
0.046742	-0.16928
0.046802	-0.15681
0.046863	-0.14507
0.046924	-0.13299
0.046984	-0.12157
0.047045	-0.10975
0.047106	-0.097967
0.047166	-0.086578
0.047227	-0.074933
0.047288	-0.062222
0.047348	-0.050757
0.047409	-0.038814
0.047470	-0.026850
0.047531	-0.015420
0.54880	-0.0039756
1.3394	0.0035936
2.8622	0.015695
4.3622	0.027241
5.9859	0.038878
7.5705	0.051186
9.1130	0.063066
10.581	0.074974
12.175	0.086858
13.615	0.098232
15.129	0.11004
16.524	0.12181
17.868	0.13363
19.198	0.14570
20.471	0.15722
21.633	0.16963
22.874	0.18162
24.004	0.19336
25.341	0.20487
26.717	0.21673
28.051	0.22889
29.273	0.24073
30.764	0.25252
31.985	0.26430
0.13130	
