Force (N)	Déformation (mm)
	
0.039164	-0.37046
0.040182	-0.36174
0.041200	-0.35225
0.042218	-0.34292
0.043237	-0.33327
0.044255	-0.32228
0.045273	-0.31306
0.046291	-0.30418
0.047309	-0.29414
0.048328	-0.28498
0.049346	-0.27451
0.050364	-0.26489
0.051382	-0.25497
0.052400	-0.24508
0.053419	-0.23645
0.054437	-0.22665
0.055455	-0.21707
0.056473	-0.20782
0.057491	-0.19860
0.058510	-0.18774
0.059528	-0.17771
0.060546	-0.16853
0.061564	-0.15879
0.062582	-0.14910
0.063601	-0.13945
0.064619	-0.12979
0.065637	-0.11975
0.066655	-0.11032
0.067673	-0.10074
0.068692	-0.091433
0.069710	-0.081718
0.070728	-0.072546
0.071746	-0.062705
0.072764	-0.052404
0.073782	-0.042722
0.074801	-0.033039
0.075819	-0.024435
0.18257	-0.014485
0.69989	-0.0049563
1.1130	0.0013536
1.5036	0.0089525
2.1234	0.018748
2.7349	0.028520
3.2998	0.037977
3.9449	0.047560
4.4961	0.057248
5.1799	0.067748
5.7312	0.077035
6.3150	0.086159
6.8441	0.095993
7.5279	0.10582
8.0522	0.11559
8.6623	0.12524
9.2933	0.13517
9.8780	0.14429
10.449	0.15387
11.024	0.16345
11.598	0.17303
12.138	0.18261
12.688	0.19219
13.239	0.20187
13.783	0.21170
14.284	0.22131
14.797	0.23091
15.322	0.24052
15.917	0.25013
16.354	0.25968
16.962	0.26921
17.460	0.28002
17.959	0.28967
18.456	0.29932
18.940	0.30840
19.382	0.31803
19.904	0.32751
20.386	0.33724
20.809	0.34697
21.270	0.35671
21.731	0.36644
22.218	0.37622
22.723	0.38608
23.192	0.39594
23.603	0.40522
24.034	0.41454
24.458	0.42416
24.879	0.43407
25.305	0.44375
25.710	0.45343
26.116	0.46278
26.526	0.47237
26.893	0.48195
27.303	0.49197
27.698	0.50174
28.075	0.51145
28.452	0.52115
28.788	0.53002
29.117	0.54023
29.546	0.54994
29.874	0.55965
0.15259	
