Force (N)	Déformation (mm)
	
0.00000	-0.47161
0.00000	-0.46421
0.00000	-0.45698
0.00000	-0.44990
0.00000	-0.44197
0.00000	-0.43482
0.00000	-0.42767
0.00000	-0.42128
0.00000	-0.41336
0.00000	-0.40622
0.00000	-0.39908
0.00000	-0.39140
0.00000	-0.38379
0.00000	-0.37673
0.00000	-0.37057
0.00000	-0.36343
0.00000	-0.35578
0.00000	-0.34890
0.00000	-0.34158
0.00000	-0.33404
0.00000	-0.32684
0.00000	-0.31986
0.00000	-0.31313
0.00000	-0.30533
0.00000	-0.29798
0.00000	-0.29099
0.00000	-0.28377
0.00000	-0.27600
0.00000	-0.26909
0.00000	-0.26179
0.00000	-0.25480
0.00000	-0.24741
0.00000	-0.24002
0.00000	-0.23282
0.00000	-0.22570
0.00000	-0.21857
0.00000	-0.21149
0.00000	-0.20395
0.00000	-0.19668
0.00000	-0.18940
0.00000	-0.18195
0.00000	-0.17439
0.00000	-0.16710
0.00000	-0.16011
0.00000	-0.15369
0.0023420	-0.14544
0.0051042	-0.13839
0.0078663	-0.13134
0.010628	-0.12441
0.013391	-0.11652
0.016153	-0.10925
0.018915	-0.10235
0.021677	-0.093809
0.024439	-0.086764
0.027201	-0.079720
0.029964	-0.073465
0.032726	-0.065895
0.035488	-0.058644
0.038250	-0.051393
0.041012	-0.044673
0.043774	-0.037173
0.046537	-0.029884
0.049299	-0.022687
0.052061	-0.015215
0.35037	-0.0081369
0.91139	-0.0010587
1.1291	0.0010256
1.8077	0.0081480
2.7626	0.015439
3.5288	0.022853
4.2251	0.029842
4.9831	0.036835
5.8330	0.044813
6.6262	0.051994
7.3016	0.058747
8.1385	0.067135
8.8646	0.074909
9.5908	0.081146
10.237	0.087989
11.044	0.095404
11.766	0.10270
12.382	0.10959
13.069	0.11625
13.652	0.12470
14.350	0.13231
15.009	0.13864
15.650	0.14651
16.226	0.15303
16.838	0.16040
17.440	0.16797
18.162	0.17586
18.793	0.18257
19.428	0.19056
20.121	0.19708
20.719	0.20401
21.302	0.21051
21.997	0.21933
22.550	0.22620
	0.23397
