Force (N)	Déformation (mm)
	
0.038147	-0.88525
0.038147	-0.87353
0.038147	-0.86071
0.038147	-0.84852
0.038147	-0.83655
0.038147	-0.82389
0.038147	-0.81043
0.038147	-0.79813
0.038147	-0.78598
0.038147	-0.77298
0.038147	-0.76045
0.038147	-0.74753
0.038147	-0.73473
0.038147	-0.72303
0.038147	-0.71069
0.038147	-0.69812
0.038147	-0.68504
0.038147	-0.67302
0.038147	-0.65982
0.038147	-0.64729
0.038147	-0.63549
0.038147	-0.62137
0.038147	-0.60999
0.038147	-0.59551
0.038147	-0.58415
0.038147	-0.57198
0.038147	-0.55979
0.038147	-0.54653
0.038147	-0.53453
0.038147	-0.52152
0.038147	-0.50967
0.038147	-0.49690
0.038147	-0.48435
0.038147	-0.47182
0.038147	-0.45943
0.038147	-0.44648
0.038147	-0.43391
0.038147	-0.42143
0.038147	-0.40871
0.038147	-0.39602
0.038147	-0.38401
0.038147	-0.37104
0.038147	-0.35758
0.038147	-0.34609
0.038147	-0.33361
0.038147	-0.32101
0.038147	-0.30839
0.038147	-0.29503
0.038147	-0.28350
0.038147	-0.27074
0.038147	-0.25829
0.038147	-0.24564
0.038147	-0.23294
0.038147	-0.21985
0.038147	-0.20756
0.038147	-0.19452
0.038147	-0.18243
0.038147	-0.17011
0.038147	-0.15787
0.038147	-0.14543
0.038147	-0.13229
0.038147	-0.11979
0.038147	-0.10727
0.038147	-0.094754
0.038147	-0.082232
0.038147	-0.069710
0.037569	-0.056612
0.035876	-0.044710
0.034182	-0.032026
0.032489	-0.019445
0.37305	-0.0070653
1.1630	0.0019271
2.3125	0.012438
3.7818	0.024979
5.4412	0.037641
7.1083	0.049883
8.7980	0.063182
10.619	0.075862
12.233	0.088393
14.049	0.10041
15.714	0.11268
17.479	0.12547
19.030	0.13822
20.483	0.15051
21.939	0.16302
23.368	0.17555
24.903	0.18807
26.584	0.20059
28.051	0.21313
29.510	0.22568
31.156	0.23824
32.798	0.25080
34.388	0.26376
35.918	0.27639
37.454	0.28852
38.893	0.30152
40.387	0.31396
41.777	0.32626
12.121	
