Force (N)	Déformation (mm)
	
-0.037482	-0.45273
-0.036815	-0.44538
-0.036149	-0.43772
-0.035482	-0.43000
-0.034816	-0.42228
-0.034149	-0.41485
-0.033483	-0.40705
-0.032816	-0.39928
-0.032150	-0.39179
-0.031483	-0.38419
-0.030817	-0.37571
-0.030150	-0.36797
-0.029484	-0.35997
-0.028817	-0.35229
-0.028151	-0.34462
-0.027485	-0.33697
-0.026818	-0.32817
-0.026152	-0.32043
-0.025485	-0.31269
-0.024819	-0.30489
-0.024152	-0.29686
-0.023486	-0.28936
-0.022819	-0.28254
-0.022153	-0.27402
-0.021486	-0.26653
-0.020820	-0.25909
-0.020153	-0.25093
-0.019487	-0.24343
-0.018820	-0.23501
-0.018154	-0.22767
-0.017488	-0.21986
-0.016821	-0.21167
-0.016155	-0.20446
-0.015488	-0.19616
-0.014822	-0.18895
-0.014155	-0.18037
-0.013489	-0.17303
-0.012822	-0.16453
-0.012156	-0.15648
-0.011489	-0.14919
-0.010823	-0.14127
-0.010156	-0.13319
-0.0094899	-0.12567
-0.0088234	-0.11796
-0.0081570	-0.10997
-0.0074905	-0.10232
-0.0068240	-0.095173
-0.0061575	-0.086785
-0.0054911	-0.079056
-0.0048246	-0.071328
-0.0041581	-0.064138
-0.0034917	-0.055103
-0.0028252	-0.047577
-0.0021587	-0.040667
-0.0014923	-0.032572
-0.00082580	-0.024405
-0.00015933	-0.017137
0.36427	-0.0086456
0.93179	-0.0014053
1.1881	0.0022140
1.7671	0.010006
2.3221	0.018937
2.9238	0.026638
3.5028	0.034338
4.0682	0.040510
4.7591	0.049666
5.3185	0.057379
5.8649	0.064469
6.3983	0.072097
7.0098	0.080021
7.5679	0.087945
8.1384	0.095910
8.6909	0.10347
9.2693	0.11163
9.8514	0.11902
10.368	0.12704
10.933	0.13409
11.450	0.14268
12.060	0.15016
12.642	0.15840
13.117	0.16588
13.683	0.17376
14.290	0.18185
14.851	0.18930
15.506	0.19758
15.958	0.20448
16.544	0.21334
17.084	0.22095
17.631	0.22832
18.213	0.23616
18.679	0.24456
19.247	0.25229
19.777	0.26002
20.283	0.26780
20.780	0.27511
21.383	0.28259
21.944	0.29090
22.355	0.29880
4.6980	
