Force (N)	Déformation (mm)
	
0.038147	-0.39176
0.038147	-0.38320
0.038147	-0.37400
0.038147	-0.36481
0.038147	-0.35558
0.038147	-0.34620
0.038147	-0.33705
0.038147	-0.32780
0.038147	-0.31782
0.038147	-0.30931
0.038147	-0.30006
0.038147	-0.29096
0.038147	-0.28140
0.038147	-0.27219
0.038147	-0.26298
0.038147	-0.25377
0.038147	-0.24456
0.038147	-0.23464
0.038147	-0.22568
0.038147	-0.21642
0.038147	-0.20716
0.038147	-0.19798
0.038147	-0.18927
0.038147	-0.17998
0.038147	-0.17066
0.038147	-0.16166
0.038147	-0.15120
0.038147	-0.14293
0.038147	-0.13410
0.038147	-0.12454
0.038147	-0.11465
0.038147	-0.10550
0.038147	-0.097419
0.038147	-0.087689
0.038147	-0.076863
0.038147	-0.068292
0.038147	-0.059081
0.038147	-0.049994
0.038147	-0.041227
0.038147	-0.031998
0.038147	-0.022769
0.27462	-0.013540
0.75862	-0.0043107
1.1299	0.00091058
1.6363	0.0094657
2.3127	0.018270
2.9317	0.027550
3.6242	0.036515
4.2848	0.045472
4.9129	0.054781
5.5040	0.064234
6.1244	0.074011
6.7336	0.083280
7.3877	0.092548
8.0336	0.10182
8.7101	0.11108
9.3357	0.12035
9.9537	0.12963
10.574	0.13891
11.198	0.14820
11.826	0.15749
12.410	0.16642
13.040	0.17553
13.625	0.18470
14.212	0.19387
14.868	0.20310
15.379	0.21233
15.962	0.22156
16.602	0.23079
17.149	0.24001
17.696	0.24924
18.246	0.25847
18.792	0.26770
19.334	0.27668
19.873	0.28589
20.441	0.29511
21.012	0.30433
21.514	0.31354
22.015	0.32276
22.525	0.33312
23.026	0.34235
23.521	0.35158
24.012	0.36082
24.486	0.37005
24.960	0.37929
25.423	0.38783
25.879	0.39716
26.325	0.40650
26.809	0.41527
27.248	0.42428
27.665	0.43376
28.073	0.44393
28.500	0.45310
28.945	0.46227
29.288	0.47083
29.687	0.48008
30.087	0.49018
30.487	0.49936
9.5353	
