Force (N)	Déformation (mm)
	-0.16612
0.00000	-0.16359
0.00000	-0.15641
0.00000	-0.14918
0.00000	-0.14191
0.00000	-0.13558
0.00000	-0.12770
0.00000	-0.12072
0.00000	-0.11373
0.00000	-0.10728
0.00000	-0.099074
0.00000	-0.092054
0.00000	-0.085351
0.00000	-0.077876
0.00000	-0.070759
0.00000	-0.063642
0.00000	-0.056588
0.00000	-0.047742
0.00000	-0.040781
0.00000	-0.033819
0.00000	-0.027597
0.00000	-0.020293
0.20189	-0.012564
0.57754	-0.0059850
1.0606	0.00073520
1.3024	0.0050386
1.7849	0.012106
2.2675	0.019173
2.7650	0.025791
3.2121	0.032742
3.6693	0.039749
4.1882	0.046950
4.7371	0.054409
5.2546	0.061775
5.7258	0.069891
6.1337	0.075933
6.6857	0.083736
7.1993	0.091539
7.7176	0.098288
8.1707	0.10459
8.6394	0.11201
9.1163	0.11937
9.6341	0.12643
10.122	0.13370
10.581	0.14109
11.034	0.14855
11.507	0.15510
11.961	0.16199
12.459	0.16907
12.879	0.17682
13.312	0.18351
13.759	0.19054
14.191	0.19856
14.615	0.20557
15.107	0.21276
15.584	0.21955
15.951	0.22781
16.482	0.23471
16.904	0.24116
17.314	0.24868
17.788	0.25590
18.170	0.26310
18.585	0.26992
19.020	0.27746
19.456	0.28530
19.872	0.29189
20.259	0.29919
20.637	0.30607
21.064	0.31301
21.418	0.32082
21.841	0.32855
22.264	0.33570
22.625	0.34215
23.009	0.34902
23.381	0.35670
23.755	0.36403
24.164	0.37123
24.514	0.37841
24.884	0.38505
25.312	0.39188
25.673	0.39911
26.022	0.40731
26.385	0.41433
26.719	0.42072
27.021	0.42830
27.379	0.43636
27.776	0.44326
28.080	0.44990
28.309	0.45749
28.684	0.46437
28.988	0.47201
29.233	0.47914
29.551	0.48611
29.893	0.49353
30.222	0.50036
30.557	0.50756
30.873	0.51492
31.186	0.52213
31.492	0.52924
0.023235	
