Force (N)	Déformation (mm)
	
-0.037298	-0.29877
-0.036447	-0.29294
-0.035595	-0.28681
-0.034744	-0.28087
-0.033893	-0.27546
-0.033042	-0.26930
-0.032191	-0.26272
-0.031340	-0.25658
-0.030489	-0.25053
-0.029638	-0.24532
-0.028787	-0.23796
-0.027936	-0.23207
-0.027084	-0.22618
-0.026233	-0.22031
-0.025382	-0.21400
-0.024531	-0.20810
-0.023680	-0.20220
-0.022829	-0.19630
-0.021978	-0.19093
-0.021127	-0.18384
-0.020276	-0.17791
-0.019425	-0.17198
-0.018574	-0.16629
-0.017722	-0.16035
-0.016871	-0.15313
-0.016020	-0.14719
-0.015169	-0.14144
-0.014318	-0.13620
-0.013467	-0.12917
-0.012616	-0.12318
-0.011765	-0.11719
-0.010914	-0.11177
-0.010063	-0.10486
-0.0092115	-0.099657
-0.0083604	-0.093275
-0.0075093	-0.087575
-0.0066582	-0.081579
-0.0058071	-0.074523
-0.0049560	-0.068589
-0.0041049	-0.062890
-0.0032538	-0.056918
-0.0024027	-0.050706
-0.0015516	-0.044729
-0.00070054	-0.038753
0.00015056	-0.032942
0.0010017	-0.026087
0.0018527	-0.020144
0.046585	-0.014277
0.35158	-0.0084091
0.79333	-0.0030641
1.0935	0.00082933
1.3012	0.0045476
1.7783	0.010443
2.2666	0.016339
2.7335	0.022291
3.2156	0.028499
3.7089	0.034065
4.3510	0.040724
4.8000	0.046750
5.2432	0.052384
5.8504	0.059586
6.2240	0.064973
6.7709	0.070728
7.1910	0.077123
7.7316	0.083382
8.2197	0.088704
8.7086	0.095028
9.2675	0.10093
9.7565	0.10653
10.395	0.11397
10.817	0.11925
11.413	0.12609
11.829	0.13193
12.377	0.13845
12.898	0.14413
13.419	0.15054
13.905	0.15565
14.435	0.16137
15.024	0.16804
15.494	0.17413
15.988	0.18059
16.448	0.18586
17.012	0.19177
17.515	0.19878
18.003	0.20424
17.968	0.21016
18.364	0.21652
18.875	0.22191
19.506	0.22848
19.962	0.23468
20.413	0.24018
20.992	0.24696
21.492	0.25309
22.053	0.25919
22.571	0.26529
23.076	0.27139
23.599	0.27774
24.176	0.28323
6.6078	
