Force (N)	Déformation (mm)
	
0.00000	-0.34943
0.00000	-0.34077
0.00000	-0.33147
0.00000	-0.32259
0.00000	-0.31441
0.00000	-0.30465
0.00000	-0.29581
0.00000	-0.28688
0.00000	-0.27817
0.00000	-0.26862
0.00000	-0.26025
0.00000	-0.25058
0.00000	-0.24181
0.00000	-0.23308
0.00000	-0.22412
0.00000	-0.21446
0.00000	-0.20645
0.00000	-0.19599
0.00000	-0.18737
0.00000	-0.17888
0.00000	-0.17011
0.00000	-0.16024
0.00000	-0.15219
0.00000	-0.14287
0.00000	-0.13355
0.00000	-0.12530
0.00000	-0.11589
0.00000	-0.10696
0.00000	-0.098718
0.00000	-0.088963
0.00000	-0.079663
0.00000	-0.071573
0.00000	-0.061370
0.00000	-0.052426
0.00000	-0.044259
0.00000	-0.034039
0.00000	-0.025312
0.12502	-0.016647
0.64131	-0.0063906
1.0606	-0.00014797
1.4016	0.0061399
1.9170	0.015619
2.4221	0.024625
2.9328	0.033217
3.4771	0.042454
3.9737	0.051896
4.4812	0.060753
4.9997	0.069370
5.4744	0.079121
5.9437	0.087433
6.5162	0.097273
7.0721	0.10591
7.5106	0.11475
8.0122	0.12370
8.5319	0.13296
9.0397	0.14180
9.5778	0.15051
10.073	0.15997
10.573	0.16836
11.052	0.17852
11.505	0.18725
12.007	0.19532
12.509	0.20520
13.016	0.21373
13.507	0.22310
13.957	0.23188
14.449	0.24109
14.902	0.24995
15.355	0.25991
15.828	0.26775
16.333	0.27666
16.804	0.28615
17.307	0.29552
17.686	0.30379
18.149	0.31287
18.615	0.32201
19.073	0.33054
19.580	0.34037
19.957	0.34958
20.337	0.35735
20.819	0.36655
21.239	0.37613
21.607	0.38457
22.124	0.39540
22.475	0.40304
22.918	0.41124
23.300	0.42080
23.687	0.43058
24.096	0.43927
24.494	0.44769
24.915	0.45753
25.232	0.46579
25.769	0.47602
26.028	0.48395
26.401	0.49274
26.780	0.50287
27.117	0.51112
27.487	0.52019
8.3588	
