Force (N)	Déformation (mm)
	
0.00000	-0.85153
0.00000	-0.83639
0.00000	-0.82178
0.00000	-0.80632
0.00000	-0.79128
0.00000	-0.77591
0.00000	-0.76047
0.00000	-0.74572
0.00000	-0.72989
0.00000	-0.71518
0.00000	-0.69952
0.00000	-0.68577
0.00000	-0.66964
0.00000	-0.65512
0.00000	-0.63928
0.00000	-0.62410
0.00000	-0.60955
0.00000	-0.59394
0.00000	-0.57900
0.00000	-0.56336
0.00000	-0.54886
0.00000	-0.53285
0.00000	-0.51772
0.00000	-0.50267
0.00000	-0.48787
0.00000	-0.47270
0.00000	-0.45671
0.00000	-0.44238
0.00000	-0.42699
0.00000	-0.41094
0.00000	-0.39669
0.00000	-0.38136
0.00000	-0.36658
0.00000	-0.35089
0.00000	-0.33642
0.00000	-0.32114
-0.047201	-0.30603
-0.062392	-0.29051
-0.070143	-0.27582
-0.074530	-0.26040
-0.022107	-0.24522
-0.065591	-0.23049
-0.050073	-0.21471
-0.031525	-0.19946
0.0099645	-0.18417
0.030835	-0.16896
0.030536	-0.15392
0.030238	-0.13893
0.029939	-0.12445
0.029641	-0.10875
0.029342	-0.093947
0.029044	-0.078635
0.028745	-0.062852
0.028447	-0.048314
0.028149	-0.032753
0.32485	-0.017990
0.90452	-0.0026276
1.3255	0.0085367
1.9514	0.023867
2.5329	0.038131
3.0820	0.053712
3.6612	0.068586
4.2583	0.083887
4.8494	0.098606
5.3820	0.11418
5.9813	0.12993
6.5634	0.14456
7.1550	0.16011
7.7524	0.17533
8.2786	0.19101
8.7863	0.20522
9.2775	0.22021
9.8341	0.23610
10.348	0.25066
10.859	0.26660
11.390	0.28071
11.857	0.29654
12.308	0.31181
12.817	0.32731
13.287	0.34163
13.715	0.35683
14.198	0.37193
14.508	0.38708
14.964	0.40240
15.349	0.41715
15.723	0.43249
16.197	0.44838
16.600	0.46260
16.986	0.47849
17.356	0.49349
17.732	0.50858
18.071	0.52392
18.441	0.53963
18.773	0.55369
19.191	0.56904
19.513	0.58417
19.816	0.59959
20.122	0.61473
2.0303	
