Force (N)	Déformation (mm)
	
-0.035976	-0.24704
-0.033802	-0.23401
-0.031629	-0.22101
-0.029455	-0.20819
-0.027282	-0.19455
-0.025109	-0.18145
-0.022935	-0.16835
-0.020762	-0.15545
-0.018588	-0.14227
-0.016415	-0.12932
-0.014242	-0.11608
-0.012068	-0.10274
-0.0098947	-0.089687
-0.0077213	-0.076789
-0.0055479	-0.063960
-0.0033745	-0.050591
-0.0012011	-0.036961
0.097719	-0.024189
0.53325	-0.010850
1.0432	0.00098387
1.3749	0.010733
1.8307	0.024059
2.2981	0.036370
2.8263	0.050317
3.2662	0.063162
3.7843	0.076673
4.2352	0.089614
4.6671	0.10381
5.0977	0.11662
5.6018	0.12900
6.0655	0.14216
6.5006	0.15539
6.9521	0.16845
7.4460	0.18209
7.8622	0.19504
8.2784	0.20812
8.6775	0.22116
9.1403	0.23435
9.5861	0.24757
9.9732	0.26030
10.370	0.27346
10.784	0.28654
11.207	0.29972
11.603	0.31298
11.999	0.32611
12.388	0.33885
12.774	0.35222
13.132	0.36533
13.499	0.37889
13.903	0.39135
14.301	0.40497
14.627	0.41797
14.945	0.43108
15.260	0.44333
15.632	0.45684
15.948	0.46994
16.257	0.48383
16.606	0.49623
16.916	0.50965
17.225	0.52265
17.568	0.53644
17.862	0.54896
18.156	0.56267
18.455	0.57520
18.793	0.58870
19.129	0.60169
19.408	0.61574
19.690	0.62786
19.936	0.64126
20.247	0.65415
20.498	0.66882
20.761	0.68075
21.051	0.69405
21.283	0.70688
21.496	0.72021
21.710	0.73297
21.943	0.74695
22.140	0.75976
22.412	0.77181
22.599	0.78605
22.768	0.79829
22.960	0.81125
23.166	0.82506
23.357	0.83798
23.576	0.85037
23.758	0.86513
23.927	0.87709
24.117	0.89037
24.318	0.90397
24.509	0.91709
24.687	0.92992
24.860	0.94288
24.997	0.95523
25.189	0.96899
25.280	0.98188
25.453	0.99564
25.614	1.0085
25.745	1.0216
0.076294	
