Force (N)	Déformation (mm)
	
0.038147	-0.60092
0.038147	-0.58954
0.038147	-0.57842
0.038147	-0.56788
0.038147	-0.55645
0.038147	-0.54616
0.038147	-0.53449
0.038147	-0.52318
0.038147	-0.51231
0.038147	-0.50119
0.038147	-0.48971
0.038147	-0.47871
0.038147	-0.46786
0.038147	-0.45589
0.038147	-0.44483
0.038147	-0.43369
0.038147	-0.42247
0.038147	-0.41224
0.038147	-0.40025
0.038147	-0.38880
0.038147	-0.37875
0.038147	-0.36710
0.038147	-0.35651
0.038147	-0.34486
0.038147	-0.33397
0.038147	-0.32255
0.038147	-0.31104
0.038147	-0.30123
0.038147	-0.28879
0.038147	-0.27832
0.038147	-0.26674
0.038147	-0.25538
0.038147	-0.24477
0.038147	-0.23402
0.038147	-0.22312
0.038147	-0.21159
0.038147	-0.20011
0.038147	-0.18894
0.038147	-0.17774
0.038147	-0.16680
0.038147	-0.15517
0.038147	-0.14426
0.038147	-0.13357
0.038147	-0.12202
0.038147	-0.11088
0.038147	-0.099683
0.038147	-0.088998
0.038147	-0.076920
0.038147	-0.066411
0.038147	-0.055551
0.038147	-0.044215
0.038147	-0.033258
0.038147	-0.022075
0.44456	-0.010979
1.0155	0.00062969
1.3858	0.0076463
1.9885	0.017840
2.6291	0.030204
3.2315	0.041032
3.8380	0.052855
4.4223	0.063699
4.9836	0.074530
5.5469	0.085481
6.1174	0.096504
6.6842	0.10801
7.2277	0.11898
7.7966	0.13011
8.3883	0.14102
8.8760	0.15251
9.4253	0.16342
9.9038	0.17419
10.424	0.18549
10.936	0.19702
11.428	0.20769
11.863	0.21926
12.395	0.23047
12.836	0.24134
13.348	0.25308
13.731	0.26379
14.292	0.27463
14.708	0.28592
15.208	0.29702
15.606	0.30817
16.109	0.31869
16.584	0.33053
17.046	0.34177
17.451	0.35282
17.929	0.36422
18.321	0.37534
18.764	0.38666
19.151	0.39731
19.626	0.40879
19.988	0.42005
20.405	0.43226
20.837	0.44194
21.202	0.45386
21.613	0.46445
22.048	0.47527
0.13453	
