Force (N)	Déformation (mm)
	
-0.037065	-0.42182
-0.035982	-0.40887
-0.034898	-0.39537
-0.033815	-0.38339
-0.032732	-0.36979
-0.031649	-0.35781
-0.030566	-0.34430
-0.029482	-0.33159
-0.028399	-0.31863
-0.027316	-0.30577
-0.026233	-0.29290
-0.025149	-0.27964
-0.024066	-0.26591
-0.022983	-0.25301
-0.021900	-0.24032
-0.020817	-0.22739
-0.019733	-0.21415
-0.018650	-0.20116
-0.017567	-0.18800
-0.016484	-0.17491
-0.015401	-0.16275
-0.014317	-0.14919
-0.013234	-0.13633
-0.012151	-0.12344
-0.011068	-0.10992
-0.0099846	-0.097496
-0.0089014	-0.083928
-0.0078182	-0.071061
-0.0067350	-0.057074
-0.0056518	-0.045043
-0.0045685	-0.032168
0.026974	-0.019231
0.70256	-0.0066072
1.1359	0.0026147
1.7951	0.015583
2.4280	0.027882
3.0723	0.041619
3.7207	0.054657
4.3631	0.067038
5.0332	0.080137
5.7158	0.093888
6.3971	0.10641
7.0113	0.11934
7.7633	0.13252
8.3608	0.14563
8.9901	0.15796
9.7283	0.17167
10.347	0.18438
11.035	0.19742
11.695	0.21046
12.308	0.22351
13.015	0.23656
13.670	0.24961
14.336	0.26297
14.914	0.27598
15.581	0.28891
16.113	0.30150
16.805	0.31405
17.447	0.32783
18.009	0.34038
18.628	0.35400
19.288	0.36644
19.872	0.37908
20.456	0.39224
20.972	0.40533
21.497	0.41836
22.054	0.43140
22.628	0.44494
23.088	0.45804
23.676	0.47083
24.212	0.48336
24.678	0.49624
25.193	0.50917
25.650	0.52259
26.149	0.53514
26.636	0.54818
27.114	0.56121
27.584	0.57425
28.049	0.58728
28.456	0.60032
28.899	0.61335
29.302	0.62639
29.688	0.63941
30.124	0.65291
30.631	0.66597
30.968	0.67924
31.387	0.69224
31.766	0.70489
32.131	0.71752
32.478	0.73034
32.836	0.74323
33.138	0.75700
33.440	0.76968
33.827	0.78272
34.180	0.79564
34.521	0.80836
34.815	0.82120
35.099	0.83413
0.11444	
