Force (N)	Déformation (mm)
	
-0.036460	-0.32820
-0.034771	-0.31461
-0.033082	-0.30106
-0.031393	-0.28660
-0.029704	-0.27299
-0.028015	-0.25961
-0.026326	-0.24581
-0.024637	-0.23223
-0.022948	-0.21826
-0.021259	-0.20475
-0.019570	-0.19144
-0.017881	-0.17658
-0.016192	-0.16231
-0.014503	-0.14930
-0.012814	-0.13507
-0.011125	-0.12139
-0.0094360	-0.10731
-0.0077470	-0.093693
-0.0060581	-0.080283
-0.0043691	-0.066745
-0.0026801	-0.053040
-0.00099114	-0.039167
0.010527	-0.025650
0.48453	-0.011089
1.0638	0.00033147
1.5470	0.011089
2.2219	0.024603
2.8653	0.038140
3.5778	0.052540
4.2188	0.066153
4.8717	0.079685
5.5799	0.093315
6.1401	0.10781
6.8290	0.12176
7.5658	0.13476
8.1969	0.14825
8.8080	0.16267
9.4512	0.17630
10.113	0.19082
10.747	0.20432
11.386	0.21801
12.089	0.23182
12.641	0.24561
13.282	0.25928
13.898	0.27283
14.507	0.28707
15.084	0.30004
15.701	0.31404
16.332	0.32813
16.872	0.34218
17.553	0.35610
18.059	0.36904
18.690	0.38353
19.270	0.39751
19.834	0.41174
20.400	0.42527
20.915	0.43908
21.390	0.45270
21.922	0.46597
22.479	0.47956
22.878	0.49424
23.364	0.50801
23.845	0.52175
24.318	0.53499
24.807	0.54915
25.226	0.56323
25.671	0.57667
26.142	0.59090
26.551	0.60389
27.032	0.61791
27.404	0.63178
27.824	0.64562
28.222	0.65947
28.615	0.67331
28.943	0.68716
29.345	0.70100
29.649	0.71485
30.035	0.72862
30.449	0.74289
30.733	0.75594
31.077	0.77032
31.333	0.78386
31.679	0.79803
31.955	0.81185
32.227	0.82568
32.502	0.83950
32.757	0.85252
33.020	0.86701
33.214	0.88036
33.528	0.89373
33.783	0.90758
34.013	0.92206
34.239	0.93544
34.426	0.94930
34.670	0.96346
34.805	0.97750
35.022	0.99129
35.233	1.0051
10.721	
