Force (N)	Déformation (mm)
	
0.00000	-0.21624
0.00000	-0.20989
0.00000	-0.20424
0.00000	-0.19820
0.00000	-0.19090
0.00000	-0.18491
0.00000	-0.17874
0.00000	-0.17203
0.00000	-0.16591
0.00000	-0.15945
0.00000	-0.15199
0.00000	-0.14674
0.00000	-0.13989
0.00000	-0.13362
0.00000	-0.12735
0.00000	-0.12116
0.00000	-0.11471
0.00000	-0.10849
0.00000	-0.10127
0.00000	-0.095108
0.00000	-0.088104
0.00000	-0.082393
0.00000	-0.076104
0.00000	-0.069666
0.00000	-0.062851
0.00000	-0.055995
0.00000	-0.050364
0.00000	-0.043659
0.00000	-0.037595
0.074100	-0.031168
0.15717	-0.024092
0.48676	-0.017707
0.71511	-0.012229
0.72930	-0.0049208
1.1123	0.00015498
1.1885	0.0027977
1.5963	0.0092152
1.8897	0.014776
2.3424	0.021339
2.6821	0.027220
3.0332	0.034936
3.4021	0.040287
3.7796	0.047048
4.1532	0.053519
4.5507	0.060024
4.9550	0.066661
5.3373	0.073423
5.6977	0.079111
6.0884	0.085765
6.3922	0.091819
6.8217	0.097934
7.2102	0.10440
7.6202	0.11086
8.0119	0.11736
8.3835	0.12380
8.7544	0.13016
9.1234	0.13654
9.5838	0.14310
9.9238	0.14960
10.341	0.15643
10.632	0.16283
11.034	0.16925
11.361	0.17585
11.701	0.18262
12.081	0.18827
12.489	0.19482
12.786	0.20077
13.209	0.20695
13.591	0.21347
13.972	0.22000
14.274	0.22653
14.615	0.23302
15.019	0.23913
15.390	0.24588
15.788	0.25266
16.093	0.25847
16.512	0.26489
16.816	0.27139
17.230	0.27844
17.568	0.28493
17.887	0.29082
18.191	0.29755
18.687	0.30341
19.048	0.30978
19.408	0.31627
19.737	0.32305
20.037	0.32986
20.413	0.33615
20.783	0.34293
21.207	0.34867
21.567	0.35467
21.846	0.36152
22.200	0.36802
22.491	0.37409
22.897	0.38114
23.119	0.38735
23.417	0.39344
23.775	0.39983
1.0532	
