Material;Experimentator;Young Module
3M ESPE Filtek Supreme XTE;Adri;6.28808868886
3M ESPE Filtek Supreme XTE;Adri;6.01647891167
3M ESPE Filtek Supreme XTE;Adri;7.87788738748
3M ESPE Filtek Supreme XTE;Adri;6.53201982092
3M ESPE Filtek Supreme XTE;Adri;5.90475052136
3M ESPE Filtek Supreme XTE;Adri;6.32486600474
3M ESPE Filtek Supreme XTE;Adri;5.44042616809
3M ESPE Filtek Supreme XTE;Adri;8.30201446489
3M ESPE Filtek Supreme XTE;Adri;6.98285788353
3M ESPE Filtek Supreme XTE;Adri;7.57071109971
Clearfil APX;Adri;15.3217668766
Clearfil APX;Adri;8.66997344854
Clearfil APX;Adri;10.2009892582
Clearfil APX;Adri;10.8433972701
Clearfil APX;Adri;14.7886648584
Clearfil APX;Adri;13.1121453576
Clearfil APX;Adri;8.24653814373
Clearfil APX;Adri;9.58314667163
Clearfil APX;Adri;13.4891388447
Clearfil APX;Adri;14.2496169292
Clearfil DC Core Plus;Adri;5.52769448193
Clearfil DC Core Plus;Adri;3.44389967655
Clearfil DC Core Plus;Adri;7.86126435586
Clearfil DC Core Plus;Adri;6.81772471482
Clearfil DC Core Plus;Adri;6.35392097907
Clearfil DC Core Plus;Adri;5.99248572215
Clearfil DC Core Plus;Adri;5.90152913253
Clearfil DC Core Plus;Adri;6.69108192108
Clearfil DC Core Plus;Adri;4.04173829258
Clearfil DC Core Plus;Adri;6.8842209682
Clearfil Majesty Post;Adri;21.1287510861
Clearfil Majesty Post;Adri;10.7934890564
Clearfil Majesty Post;Adri;10.3115481235
Clearfil Majesty Post;Adri;18.4158263129
Clearfil Majesty Post;Adri;10.9870095518
Clearfil Majesty Post;Adri;14.7227128734
Clearfil Majesty Post;Adri;14.4970046376
Clearfil Majesty Post;Adri;11.30614409
Clearfil Majesty Post;Adri;13.3550415037
Clearfil Majesty Post;Adri;8.3136744117
Clearfil PhotoCore;Adri;15.228440552
Clearfil PhotoCore;Adri;15.6316209627
Clearfil PhotoCore;Adri;9.99076660433
Clearfil PhotoCore;Adri;17.4273989667
Clearfil PhotoCore;Adri;10.7117747949
Clearfil PhotoCore;Adri;16.4308426993
Clearfil PhotoCore;Adri;10.7521615149
Clearfil PhotoCore;Adri;18.1025903597
Clearfil PhotoCore;Adri;10.6411005285
Clearfil PhotoCore;Adri;14.9560097275
Core-X-Flow;Adri;5.55551395439
Core-X-Flow;Adri;5.90729231531
Core-X-Flow;Adri;6.46766170385
Core-X-Flow;Adri;7.47961485604
Core-X-Flow;Adri;6.33954609059
Core-X-Flow;Adri;6.27491984131
Core-X-Flow;Adri;7.77263342312
Core-X-Flow;Adri;5.34055984124
Core-X-Flow;Adri;6.45394529797
Core-X-Flow;Adri;6.47568432595
Gradia Core;Adri;7.4735593155
Gradia Core;Adri;6.72112579551
Gradia Core;Adri;7.68227247484
Gradia Core;Adri;10.3305006405
Gradia Core;Adri;10.8688458027
Gradia Core;Adri;9.84233312569
Gradia Core;Adri;6.6089929462
Gradia Core;Adri;6.77964802426
Gradia Core;Adri;10.9953153815
Gradia Core;Adri;10.2438947898
Grandio;Adri;8.07063242559
Grandio;Adri;9.33719937191
Grandio;Adri;11.6311430731
Grandio;Adri;8.25593372169
Grandio;Adri;10.3578736195
Grandio;Adri;9.1016290241
Grandio;Adri;8.94215201061
Grandio;Adri;8.74767959252
Grandio;Adri;9.96340425016
Grandio;Adri;8.91867208658
Grandio Core;Adri;5.21338697099
Grandio Core;Adri;4.98265925681
Grandio Core;Adri;4.8471873227
Grandio Core;Adri;5.37572655346
Grandio Core;Adri;6.75924081268
Grandio Core;Adri;6.28146960762
Grandio Core;Adri;5.92669315238
Grandio Core;Adri;4.92034486809
Grandio Core;Adri;5.18375538159
Grandio Core;Adri;5.15814509992
Luxacore Z Dual;Adri;4.47242733372
Luxacore Z Dual;Adri;4.44479683596
Luxacore Z Dual;Adri;4.41950069525
Luxacore Z Dual;Adri;4.02877738949
Luxacore Z Dual;Adri;4.9047887164
Luxacore Z Dual;Adri;4.90931699156
Luxacore Z Dual;Adri;4.99183406842
Luxacore Z Dual;Adri;
Luxacore Z Dual;Adri;4.6095457969
Luxacore Z Dual;Adri;3.96497258214
Luxacore Z Dual;Adri;5.25312676541
Multicore Flow;Adri;5.59726373345
Multicore Flow;Adri;5.62944526803
Multicore Flow;Adri;6.17070323842
Multicore Flow;Adri;5.80762800419
Multicore Flow;Adri;7.58282876233
Multicore Flow;Adri;6.98804773517
Multicore Flow;Adri;5.9327771851
Multicore Flow;Adri;6.13371810802
Multicore Flow;Adri;5.94700962787
Multicore Flow;Adri;6.93665872315
N'Durance Dimmer Core;Adri;1.70071092056
N'Durance Dimmer Core;Adri;2.25249289336
N'Durance Dimmer Core;Adri;2.92782987317
N'Durance Dimmer Core;Adri;2.71120426119
N'Durance Dimmer Core;Adri;2.60472335782
N'Durance Dimmer Core;Adri;3.02643634251
N'Durance Dimmer Core;Adri;2.72041317568
N'Durance Dimmer Core;Adri;3.31692548765
N'Durance Dimmer Core;Adri;3.08108356266
N'Durance Dimmer Core;Adri;3.55947287015
N'Durance Dimmer Core;Adri;2.7065702456
Rebilda DC;Adri;5.61303401078
Rebilda DC;Adri;5.08293219213
Rebilda DC;Adri;5.90584732282
Rebilda DC;Adri;4.82752074599
Rebilda DC;Adri;5.1601688668
Rebilda DC;Adri;5.27380977472
Rebilda DC;Adri;6.17551936722
Rebilda DC;Adri;4.99471349839
Rebilda DC;Adri;5.20148899856
Rebilda DC;Adri;4.98827869976
Rebilda SC;Adri;4.10480941569
Rebilda SC;Adri;4.3012149817
Rebilda SC;Adri;4.91411926037
Rebilda SC;Adri;3.67166122669
Rebilda SC;Adri;4.50040690912
Rebilda SC;Adri;3.16337271829
Rebilda SC;Adri;4.00989034246
Rebilda SC;Adri;5.59703165884
Rebilda SC;Adri;4.87453101228
Rebilda SC;Adri;3.70204967437
Tetrc Evoceram;Adri;5.2182079374
Tetrc Evoceram;Adri;4.71938368651
Tetrc Evoceram;Adri;4.28980648675
Tetrc Evoceram;Adri;7.72025076789
Tetrc Evoceram;Adri;5.40455861001
Tetrc Evoceram;Adri;4.88931034076
Tetrc Evoceram;Adri;6.29170615903
Tetrc Evoceram;Adri;4.87335792655
Tetrc Evoceram;Adri;7.65234829171
Tetrc Evoceram;Adri;6.2174993187
3M ESPE Filtek Supreme XTE;Ali;5.71508339811
3M ESPE Filtek Supreme XTE;Ali;7.71364894362
3M ESPE Filtek Supreme XTE;Ali;7.32281973893
3M ESPE Filtek Supreme XTE;Ali;5.41512917094
3M ESPE Filtek Supreme XTE;Ali;6.92702404255
3M ESPE Filtek Supreme XTE;Ali;7.34077706347
3M ESPE Filtek Supreme XTE;Ali;4.11493445433
3M ESPE Filtek Supreme XTE;Ali;7.62957509403
3M ESPE Filtek Supreme XTE;Ali;5.25365062741
3M ESPE Filtek Supreme XTE;Ali;8.36560607177
Clearfil APX;Ali;16.0120217352
Clearfil APX;Ali;10.6440646461
Clearfil APX;Ali;12.9605378807
Clearfil APX;Ali;15.0753719888
Clearfil APX;Ali;11.6543409153
Clearfil APX;Ali;12.9504027662
Clearfil APX;Ali;14.1151724662
Clearfil APX;Ali;11.3182184346
Clearfil APX;Ali;11.6235935415
Clearfil APX;Ali;12.7657006497
Clearfil DC Core Plus;Ali;5.4969839251
Clearfil DC Core Plus;Ali;5.74633793097
Clearfil DC Core Plus;Ali;5.86732762203
Clearfil DC Core Plus;Ali;7.19325033458
Clearfil DC Core Plus;Ali;6.50843543036
Clearfil DC Core Plus;Ali;5.35574748214
Clearfil DC Core Plus;Ali;6.67585617674
Clearfil DC Core Plus;Ali;6.0578324439
Clearfil DC Core Plus;Ali;5.39662002856
Clearfil DC Core Plus;Ali;6.75158660371
Clearfil Majesty Post;Ali;11.372248397
Clearfil Majesty Post;Ali;10.0839292626
Clearfil Majesty Post;Ali;11.204716216
Clearfil Majesty Post;Ali;15.4517194581
Clearfil Majesty Post;Ali;10.7212211045
Clearfil Majesty Post;Ali;11.2119991696
Clearfil Majesty Post;Ali;14.6236809513
Clearfil Majesty Post;Ali;10.3574707444
Clearfil Majesty Post;Ali;18.291963413
Clearfil Majesty Post;Ali;7.95554365534
Clearfil PhotoCore;Ali;13.0045550544
Clearfil PhotoCore;Ali;15.6947802774
Clearfil PhotoCore;Ali;12.2892260045
Clearfil PhotoCore;Ali;12.1410142103
Clearfil PhotoCore;Ali;9.55089598787
Clearfil PhotoCore;Ali;13.1012926301
Clearfil PhotoCore;Ali;13.3708177078
Clearfil PhotoCore;Ali;14.2857642925
Clearfil PhotoCore;Ali;15.6650099627
Clearfil PhotoCore;Ali;12.4026651837
Core-X-Flow;Ali;8.16531343655
Core-X-Flow;Ali;7.53008549672
Core-X-Flow;Ali;7.64908781348
Core-X-Flow;Ali;5.98813867351
Core-X-Flow;Ali;6.23998191942
Core-X-Flow;Ali;8.15510509021
Core-X-Flow;Ali;7.51547658418
Core-X-Flow;Ali;6.40314801048
Core-X-Flow;Ali;7.46965130484
Core-X-Flow;Ali;7.17373496117
Gradia Core;Ali;9.65083723713
Gradia Core;Ali;7.25150056634
Gradia Core;Ali;9.26959906029
Gradia Core;Ali;8.55720599445
Gradia Core;Ali;9.97782636925
Gradia Core;Ali;8.57535277695
Gradia Core;Ali;6.80430108457
Gradia Core;Ali;7.59605829633
Gradia Core;Ali;7.36643271762
Gradia Core;Ali;7.92717623522
Grandio;Ali;8.88518869985
Grandio;Ali;11.8734550667
Grandio;Ali;10.3748788459
Grandio;Ali;10.5500625924
Grandio;Ali;14.7636001481
Grandio;Ali;9.24837434326
Grandio;Ali;10.256971519
Grandio;Ali;12.5031416471
Grandio;Ali;10.4836328001
Grandio;Ali;11.6692037778
Grandio Core;Ali;5.84611133491
