;mu;var
Clearfil DC Core Plus;6.0282769111423953;1.048653321228465
Rebilda DC;5.8630275748450318;0.71994976379602338
Gradia Core;8.5261389317324632;2.2323307153005927
Multicore Flow;5.9078487504540522;0.94837602080381811
Grandio Core;6.1954361343700626;0.97121810937610975
N'Durance Dimmer Core;3.1718486113516877;0.3760971052355494
Tetrc Evoceram;6.4859620880791038;1.8582670371617853
Luxacore Z Dual;4.8475251931364456;0.66164267930999643
Grandio;10.1967414307949;2.7203989500071684
Permaflow;5.3340533390717066;0.53610863091863448
Clearfil Majesty Post;12.755284700954199;12.230093566089009
Clearfil APX;12.381240134144097;5.0008903708256414
3M ESPE Filtek Supreme XTE;6.6519174778200751;1.2990453185527921
Rebilda SC;4.7122249641902689;0.58876278164499052
Core-X-Flow;6.8178547470161188;0.73078306094907686
Clearfil PhotoCore;13.568936401089701;6.3801301623640834
