;Clearfil DC Core Plus;Rebilda DC;Gradia Core;Multicore Flow;Grandio Core;N'Durance Dimmer Core;Tetrc Evoceram;Luxacore Z Dual;Grandio;Permaflow;Clearfil Majesty Post;Clearfil APX;3M ESPE Filtek Supreme XTE;Rebilda SC;Core-X-Flow;Clearfil PhotoCore
Clearfil DC Core Plus;1.0;0.58167395822259449;3.358675004984451e-07;0.70524384644586491;0.60194664521061658;2.120166121899988e-13;0.23737236394134908;0.00025243645391022227;1.0417900337314067e-11;0.066887845101619561;5.2763185018588417e-10;5.3543533330834998e-14;0.076606011122043571;4.59980127476019e-05;0.011751219091814844;6.7187801357241355e-15
Rebilda DC;0.58167395822259449;1.0;3.0449637533205101e-08;0.87749460776802446;0.26013748996048192;2.6223899858087176e-14;0.090847270370788685;0.00042217309322221573;9.9318794023023437e-13;0.10406333622158921;2.0994913710514639e-10;1.0650900092752515e-14;0.017561542148301388;6.2667254166648274e-05;0.0010599020381819087;1.7098990430251875e-15
Gradia Core;3.358675004984451e-07;3.0449637533205101e-08;1.0;9.5756963284427073e-08;9.9415510458404947e-07;6.3342531044434853e-18;6.033030465395968e-05;8.589693191734099e-12;0.0017994121495112116;7.2629042331364447e-07;1.4429397287444037e-05;1.559838500361832e-07;7.049649887028228e-05;2.2230164159669227e-12;7.5434474848390531e-05;2.971728521954036e-09
Multicore Flow;0.70524384644586491;0.87749460776802446;9.5756963284427073e-08;1.0;0.35912028923302075;2.6151045148364034e-13;0.13105955201706673;0.0006107777458100119;3.2855447692632812e-12;0.1121466304211505;3.0856652608872548e-10;2.37500935359977e-14;0.032484892703025577;0.00011048084637164833;0.0032586599175223403;3.3483227674866499e-15
Grandio Core;0.60194664521061658;0.26013748996048192;9.9415510458404947e-07;0.35912028923302075;1.0;1.6602524041799647e-14;0.4446510989973721;3.1968009048328712e-05;2.3727961107155249e-11;0.021311033450915021;9.1060684377295411e-10;9.7533358374934169e-14;0.18345729083815496;5.0107691224086391e-06;0.03938945966083942;1.135105148311901e-14
N'Durance Dimmer Core;2.120166121899988e-13;2.6223899858087176e-14;6.3342531044434853e-18;2.6151045148364034e-13;1.6602524041799647e-14;1.0;1.8134873460837908e-12;4.8631783531923572e-09;1.0643263993538643e-20;1.6914333254251715e-09;4.5061668578465653e-15;1.2163882554932808e-20;5.9543375926946732e-15;1.4755214589538286e-08;1.6905502390216638e-18;9.35215501556686e-21
Tetrc Evoceram;0.23737236394134908;0.090847270370788685;6.033030465395968e-05;0.13105955201706673;0.4446510989973721;1.8134873460837908e-12;1.0;4.3735844437154926e-05;2.3935397271071656e-09;0.019230317941672952;5.7433031698786816e-09;2.8378181132398636e-12;0.67852909339522993;1.0636950662251571e-05;0.36211447623151427;2.0567297352766203e-13
Luxacore Z Dual;0.00025243645391022227;0.00042217309322221573;8.589693191734099e-12;0.0006107777458100119;3.1968009048328712e-05;4.8631783531923572e-09;4.3735844437154926e-05;1.0;1.4281658139137301e-15;0.12222436516432734;5.1953997181674454e-12;9.7652661304600818e-17;1.2040042822321922e-06;0.59158791758134976;5.78524567205668e-09;2.9203761939384041e-17
Grandio;1.0417900337314067e-11;9.9318794023023437e-13;0.0017994121495112116;3.2855447692632812e-12;2.3727961107155249e-11;1.0643263993538643e-20;2.3935397271071656e-09;1.4281658139137301e-15;1.0;1.3674577682505516e-09;0.0052850466353730353;0.0011523727839551517;1.5087244445385856e-09;4.6303136026979507e-16;7.6051299835072151e-10;1.3312581982478599e-05
Permaflow;0.066887845101619561;0.10406333622158921;7.2629042331364447e-07;0.1121466304211505;0.021311033450915021;1.6914333254251715e-09;0.019230317941672952;0.12222436516432734;1.3674577682505516e-09;1.0;3.8649802593072066e-07;2.1685447580465905e-10;0.0025430985399577076;0.042711396377278513;6.5287086137593992e-05;9.1831211643315335e-11
